RACE,CLASS,AGE,SEX,DEGREE,EDUC,MARITAL,ATTEND,INCOME16,SEI10,MADEG,PADEG,MAEDUC,PAEDUC,MASEI10,PASEI10,PRESTG10,PRES16,PRES12
1,2,74,2,1,10,4,2,16,14.8,0,0,8,0,13.2,24.6,22,T,1
1,3,42,1,3,16,1,2,25,83.4,3,1,16,12,35.8,77.4,61,T,2
2,4,71,1,4,18,3,8,26,68.6,1,1,12,12,21.8,58.4,53,T,2
1,1,62,2,0,8,2,0,5,21.8,1,1,12,12,25.7,46.6,35,DK,1
1,3,59,1,4,19,3,4,25,77.4,1,1,12,12,84.2,52,72,T,2
2,1,41,2,1,12,5,0,2,21.6,3,1,16,15,38.2,32,28,DK,1
1,3,75,2,1,12,2,7,20,73.9,1,1,12,12,13.3,41,53,DK,1
1,2,55,2,3,16,1,1,22,84.2,1,2,13,14,19.6,65.1,64,C,1
1,3,40,2,4,20,3,4,21,82.5,4,1,19,15,82.5,39.7,64,C,1
1,3,40,2,2,14,1,1,22,84.2,3,3,16,16,61.4,59.1,64,C,1
1,2,37,1,1,12,5,0,20,19.2,4,4,18,18,71.7,52,35,C,1
1,3,56,2,3,16,1,6,21,62.9,3,3,16,16,77.9,57.4,54,T,2
1,2,68,2,1,12,3,5,17,25.7,1,1,12,12,67.7,26.9,38,T,1
1,2,65,1,4,18,1,3,24,87.9,1,1,12,12,39.7,43,60,T,2
1,1,34,1,4,20,5,0,18,85.8,4,3,18,16,63.7,81,73,C,1
1,1,65,2,1,12,3,2,10,31.6,1,1,12,12,31.9,37.6,35,C,1
1,1,62,2,1,12,2,2,18,20.7,1,1,12,12,59.8,23.3,24,C,1
1,2,42,2,1,12,4,3,15,73.9,0,0,6,3,26.8,13.2,53,C,1
1,3,46,1,3,16,1,2,26,87.9,3,4,17,17,84.5,82.7,60,T,1
1,3,55,1,3,14,3,1,24,92,0,0,7,7,26.5,28.5,66,T,1
2,1,79,1,4,20,3,3,13,76.3,0,0,8,6,21.1,26.6,60,C,1
2,3,32,2,4,19,5,6,24,71,3,3,16,16,81.9,53.9,58,C,1
2,2,37,1,2,16,1,1,24,41,4,4,20,20,82.5,59.1,39,DK,1
1,4,42,2,4,20,1,4,26,81,3,1,16,12,52,24.6,63,C,1
1,3,37,2,3,16,1,3,26,75.6,1,2,12,14,26.1,81,57,DK,2
